ensembl_gene_id,gene_biotype
ENSMUSG00000002996,protein_coding
ENSMUSG00000002997,protein_coding
ENSMUSG00000003031,protein_coding
ENSMUSG00000003032,protein_coding
ENSMUSG00000003033,protein_coding
ENSMUSG00000003037,protein_coding
ENSMUSG00000003038,protein_coding
ENSMUSG00000003039,protein_coding
ENSMUSG00000003051,protein_coding
ENSMUSG00000003062,protein_coding
ENSMUSG00000003068,protein_coding
ENSMUSG00000003070,protein_coding
ENSMUSG00000003072,protein_coding
ENSMUSG00000003099,protein_coding
ENSMUSG00000003119,protein_coding
ENSMUSG00000003123,protein_coding
ENSMUSG00000003131,protein_coding
ENSMUSG00000003134,protein_coding
ENSMUSG00000003135,protein_coding
ENSMUSG00000003153,protein_coding
ENSMUSG00000003154,protein_coding
ENSMUSG00000003161,protein_coding
ENSMUSG00000003166,protein_coding
ENSMUSG00000003184,protein_coding
ENSMUSG00000003190,protein_coding
ENSMUSG00000003198,protein_coding
ENSMUSG00000003199,protein_coding
ENSMUSG00000003200,protein_coding
ENSMUSG00000003208,protein_coding
ENSMUSG00000003226,protein_coding
ENSMUSG00000003228,protein_coding
ENSMUSG00000003233,protein_coding
ENSMUSG00000003234,protein_coding
ENSMUSG00000003235,protein_coding
ENSMUSG00000003269,protein_coding
ENSMUSG00000003271,protein_coding
ENSMUSG00000003273,protein_coding
ENSMUSG00000003279,protein_coding
ENSMUSG00000003282,protein_coding
ENSMUSG00000003283,protein_coding
ENSMUSG00000003299,protein_coding
ENSMUSG00000003308,protein_coding
ENSMUSG00000003309,protein_coding
ENSMUSG00000003316,protein_coding
ENSMUSG00000003341,protein_coding
ENSMUSG00000003344,protein_coding
ENSMUSG00000003345,protein_coding
ENSMUSG00000003346,protein_coding
ENSMUSG00000003348,protein_coding
ENSMUSG00000003352,protein_coding
ENSMUSG00000003355,protein_coding
ENSMUSG00000003360,protein_coding
ENSMUSG00000003363,protein_coding
ENSMUSG00000003378,protein_coding
ENSMUSG00000003379,protein_coding
ENSMUSG00000003380,protein_coding
ENSMUSG00000003382,protein_coding
ENSMUSG00000003402,protein_coding
ENSMUSG00000003410,protein_coding
ENSMUSG00000003411,protein_coding
ENSMUSG00000003418,protein_coding
ENSMUSG00000003420,protein_coding
ENSMUSG00000003421,protein_coding
ENSMUSG00000003423,protein_coding
ENSMUSG00000003429,protein_coding
ENSMUSG00000003435,protein_coding
ENSMUSG00000003436,protein_coding
ENSMUSG00000003437,protein_coding
ENSMUSG00000003438,protein_coding
ENSMUSG00000003444,protein_coding
ENSMUSG00000003452,protein_coding
ENSMUSG00000003458,protein_coding
ENSMUSG00000003464,protein_coding
ENSMUSG00000003469,protein_coding
ENSMUSG00000003500,protein_coding
ENSMUSG00000003518,protein_coding
ENSMUSG00000003526,protein_coding
ENSMUSG00000003527,protein_coding
ENSMUSG00000003528,protein_coding
ENSMUSG00000003531,protein_coding
ENSMUSG00000003534,protein_coding
ENSMUSG00000003541,protein_coding
ENSMUSG00000003546,protein_coding
ENSMUSG00000003549,protein_coding
ENSMUSG00000003559,protein_coding
ENSMUSG00000003573,protein_coding
ENSMUSG00000003575,protein_coding
ENSMUSG00000003581,protein_coding
ENSMUSG00000003585,protein_coding
ENSMUSG00000003604,protein_coding
ENSMUSG00000003623,protein_coding
ENSMUSG00000003644,protein_coding
ENSMUSG00000003657,protein_coding
ENSMUSG00000003660,protein_coding
ENSMUSG00000003662,protein_coding
ENSMUSG00000003680,protein_coding
ENSMUSG00000003721,protein_coding
ENSMUSG00000003731,protein_coding
ENSMUSG00000003746,protein_coding
ENSMUSG00000003752,protein_coding
ENSMUSG00000003762,protein_coding
ENSMUSG00000003778,protein_coding
ENSMUSG00000003779,protein_coding
ENSMUSG00000003808,protein_coding
ENSMUSG00000003809,protein_coding
ENSMUSG00000003810,protein_coding
ENSMUSG00000003812,protein_coding
ENSMUSG00000003813,protein_coding
ENSMUSG00000003814,protein_coding
ENSMUSG00000003824,protein_coding
ENSMUSG00000003847,protein_coding
ENSMUSG00000003848,protein_coding
ENSMUSG00000003849,protein_coding
ENSMUSG00000003863,protein_coding
ENSMUSG00000003865,protein_coding
ENSMUSG00000003868,protein_coding
ENSMUSG00000003872,protein_coding
ENSMUSG00000003873,protein_coding
ENSMUSG00000003923,protein_coding
ENSMUSG00000003929,protein_coding
ENSMUSG00000003934,protein_coding
ENSMUSG00000003948,protein_coding
ENSMUSG00000003955,protein_coding
ENSMUSG00000003970,protein_coding
ENSMUSG00000003992,protein_coding
ENSMUSG00000004018,protein_coding
ENSMUSG00000004032,protein_coding
ENSMUSG00000004035,protein_coding
ENSMUSG00000004040,protein_coding
ENSMUSG00000004043,protein_coding
ENSMUSG00000004044,protein_coding
ENSMUSG00000004054,protein_coding
ENSMUSG00000004056,protein_coding
ENSMUSG00000004069,protein_coding
ENSMUSG00000004070,protein_coding
ENSMUSG00000004071,protein_coding
ENSMUSG00000004085,protein_coding
ENSMUSG00000004096,protein_coding
ENSMUSG00000004098,protein_coding
ENSMUSG00000004099,protein_coding
ENSMUSG00000004100,protein_coding
ENSMUSG00000004113,protein_coding
ENSMUSG00000004127,protein_coding
ENSMUSG00000004151,protein_coding
ENSMUSG00000004187,protein_coding
ENSMUSG00000004207,protein_coding
ENSMUSG00000004221,protein_coding
ENSMUSG00000004233,protein_coding
ENSMUSG00000004263,protein_coding
ENSMUSG00000004264,protein_coding
ENSMUSG00000004266,protein_coding
ENSMUSG00000004267,protein_coding
